Date,Close
2019-06-24,14.45
2019-06-25,14.93
2019-06-26,15.25
2019-06-27,15.11
2019-06-28,15.31
2019-07-01,15.25
2019-07-02,14.68
2019-07-03,14.59
2019-07-05,14.75
2019-07-08,13.59
2019-07-09,13.73
2019-07-10,13.47
2019-07-11,13.79
2019-07-12,14.15
2019-07-15,14.61
2019-07-16,15.13
2019-07-17,14.94
2019-07-18,14.68
2019-07-19,15.07
2019-07-22,15.38
2019-07-23,15.62
2019-07-24,15.83
2019-07-25,15.28
2019-07-26,15.19
2019-07-29,15.27
2019-07-30,15.71
2019-07-31,15.03
2019-08-01,14.52
2019-08-02,13.27
2019-08-05,12.64
2019-08-06,12.57
2019-08-07,12.28
2019-08-08,12.73
2019-08-09,12.05
2019-08-12,11.67
2019-08-13,11.62
2019-08-14,11.56
2019-08-15,10.91
2019-08-16,11.28
2019-08-19,12.43
2019-08-20,12.31
2019-08-21,12.11
2019-08-22,11.8
2019-08-23,11.18
2019-08-26,11.13
2019-08-27,10.34
2019-08-28,10.7
2019-08-29,11.08
2019-08-30,11.07
2019-09-03,10.68
2019-09-04,11.26
2019-09-05,11.6
2019-09-06,11.39
2019-09-09,12.23
2019-09-10,12.42
2019-09-11,13.23
2019-09-12,13.13
2019-09-13,13.1
2019-09-16,13.29
2019-09-17,12.96
2019-09-18,12.45
2019-09-19,11.06
2019-09-20,10.81
2019-09-23,11.04
2019-09-24,10.71
2019-09-25,11.45
2019-09-26,11.3
2019-09-27,11.33
2019-09-30,11.55
2019-10-01,11.93
2019-10-02,10.94
2019-10-03,10.79
2019-10-04,10.77
2019-10-07,10.92
2019-10-08,11.03
2019-10-09,10.09
2019-10-10,10.14
2019-10-11,11.34
2019-10-14,11.16
2019-10-15,11.43
2019-10-16,10.48
2019-10-17,10.63
2019-10-18,10.72
2019-10-21,10.64
2019-10-22,11.22
2019-10-23,11.17
2019-10-24,11.27
2019-10-25,11.71
2019-10-28,12.31
2019-10-29,12.22
2019-10-30,12.01
2019-10-31,11.51
2019-11-01,13.21
2019-11-04,13.3
2019-11-05,13.1
2019-11-06,12.84
2019-11-07,12.84
2019-11-08,13.57
2019-11-11,13.8
2019-11-12,13.73
2019-11-13,13.42
2019-11-14,12.91
2019-11-15,13.08
2019-11-18,13.28
2019-11-19,12.83
2019-11-20,12.78
2019-11-21,12.88
2019-11-22,13.46
2019-11-25,13.79
2019-11-26,13.68
2019-11-27,13.93
2019-11-29,13.12
2019-12-02,13.67
2019-12-03,13.14
